,KW + NMC,EN + NMC,KW + RF,EN + RF,KW + NMC (k-ens),NMC Ensemble,KW + NMC (k-grid),Standalone EN,KW + NMC (plateau),EN (plateau),EN + NMC (plateau)
KW + NMC,1.0,0.7382769901853872,0.7230098146128681,0.7230098146128681,0.826608505997819,0.8026172300981461,0.9411123227917121,0.737186477644493,0.836423118865867,0.7306434023991276,0.742639040348964
EN + NMC,0.7217484008528785,1.0,0.6918976545842217,0.7260127931769723,0.7238805970149254,0.8326226012793176,0.7217484008528785,0.7697228144989339,0.7292110874200426,0.7409381663113006,0.7622601279317697
KW + RF,0.6820987654320988,0.6676954732510288,1.0,0.7870370370370371,0.6872427983539094,0.6934156378600823,0.6831275720164609,0.6820987654320988,0.7016460905349794,0.6697530864197531,0.6831275720164609
EN + RF,0.6254716981132076,0.6424528301886793,0.7216981132075472,1.0,0.6113207547169811,0.6424528301886793,0.6188679245283019,0.660377358490566,0.6320754716981132,0.6462264150943396,0.6320754716981132
KW + NMC (k-ens),0.8783314020857474,0.7867902665121669,0.7740440324449595,0.7508690614136733,1.0,0.895712630359212,0.8968713789107764,0.7694090382387022,0.9617612977983777,0.7740440324449595,0.8227114716106605
NMC Ensemble,0.8411428571428572,0.8925714285714286,0.7702857142857142,0.7782857142857142,0.8834285714285715,1.0,0.8537142857142858,0.8114285714285714,0.8857142857142857,0.7977142857142857,0.8457142857142858
KW + NMC (k-grid),0.9567627494456763,0.7505543237250555,0.7361419068736141,0.7272727272727273,0.8580931263858093,0.8281596452328159,1.0,0.7328159645232816,0.8558758314855875,0.7339246119733924,0.7549889135254989
Standalone EN,0.7420417124039517,0.7925356750823271,0.7277716794731065,0.7683863885839737,0.7288693743139407,0.7793633369923162,0.725576289791438,1.0,0.7409440175631175,0.8649835345773875,0.8057080131723381
KW + NMC (plateau),0.8696145124716553,0.7755102040816326,0.7732426303854876,0.7596371882086168,0.9410430839002267,0.8786848072562359,0.8752834467120182,0.7653061224489796,1.0,0.7698412698412699,0.81859410430839
EN (plateau),0.7494407158836689,0.7774049217002237,0.7281879194630873,0.7662192393736018,0.7472035794183445,0.7807606263982103,0.7404921700223713,0.8814317673378076,0.7595078299776287,1.0,0.8355704697986577
EN + NMC (plateau),0.8078291814946619,0.8481613285883749,0.7876631079478055,0.7947805456702254,0.8422301304863582,0.8778173190984578,0.8078291814946619,0.8706998813760379,0.8564650059311981,0.8861209964412812,1.0
